course,website
southern-lakes,https://highlandevents.co.nz/events/mt-outdoors-southern-lakes-half-marathon/
kerikeri,http://www.runwalkseries.co.nz/kerikeri/half-marathon-event
rotorua,http://rotoruamarathon.co.nz/
christchurch,http://www.christchurchmarathon.co.nz/
tauranga,https://www.taurangahalfmarathon.co.nz/
new-plymouth,http://www.np-joggers-walkers.co.nz/
taupo,https://www.taupohalfmarathon.org.nz/
huntly,http://huntlyhalf.co.nz/
podium-rotorua,http://rotoruahalfmarathon.com/
wellington,http://www.wellingtonmarathon.co.nz/
wellington-round-the-bays,http://wellingtonroundthebays.co.nz/
hamilton,https://www.hamiltonhalfmarathon.org.nz/
buller-gorge,https://www.bullergorgemarathon.co.nz/
auckland,https://aucklandmarathon.co.nz/
orewa,http://orewahalfmarathon.co.nz/
coatesville,http://coatesvillehalfmarathon.co.nz/
north-shore,http://northshoremarathon.co.nz/
queenstown,https://queenstown-marathon.co.nz/
hawkes-bay,https://hawkesbaymarathon.co.nz/
whangarei,http://www.runwalkseries.co.nz/Whangarei-Half/Event-Information
omaha,http://omahahalfmarathon.co.nz/
devonport,http://devonporthalfmarathon.co.nz/
waiheke,http://www.waihekehalfmarathon.co.nz/
city-to-surf-tauranga,https://eventpromotions.co.nz/tauranga-city-to-surf-surf-to-surf/
manawatu-striders,https://www.manawatustriders.org.nz/full-and-half-marathon/
mt-runners,https://www.mtrunnershalfmarathon.co.nz/
waterfront,http://waterfronthalfmarathon.co.nz/
tauranga-international,https://www.marathontauranga.co.nz/
blenheim-vineyard,https://vineyardhalf.com/
albany-lakes,http://albanylakes.co.nz/